index,time_s,channel,value
131,0.00655000,CH3,-0.2573718754
132,0.00660000,CH3,-0.5925141848
133,0.00665000,CH3,-0.9472373187
134,0.00670000,CH3,-1.0358568566
135,0.00675000,CH3,-1.1165165518
136,0.00680000,CH3,-1.2888385912
137,0.00685000,CH3,-1.5492542825
138,0.00690000,CH3,-1.5275026329
139,0.00695000,CH3,-1.0084457411
140,0.00700000,CH3,-0.0039901033
141,0.00705000,CH3,1.0116397253
142,0.00710000,CH3,1.5941096046
143,0.00715000,CH3,1.4955754355
144,0.00720000,CH3,1.3125991938
145,0.00725000,CH3,1.1321669132
146,0.00730000,CH3,0.9954723210
147,0.00735000,CH3,0.9107083341
148,0.00740000,CH3,0.5777542590
149,0.00745000,CH3,0.2959787884
150,0.00750000,CH3,0.0291800405
151,0.00755000,CH3,-0.2338649323
152,0.00760000,CH3,-0.5826641825
153,0.00765000,CH3,-0.8482211083
154,0.00770000,CH3,-1.0341370984
155,0.00775000,CH3,-1.1624270479
156,0.00780000,CH3,-1.3225681843
157,0.00785000,CH3,-1.5766119146
158,0.00790000,CH3,-1.5461230684
159,0.00795000,CH3,-1.0010387759
160,0.00800000,CH3,0.0246208124
161,0.00805000,CH3,0.9867293063
162,0.00810000,CH3,1.5072472088
163,0.00815000,CH3,1.5678589514
164,0.00820000,CH3,1.3158313850
165,0.00825000,CH3,1.1475514004
166,0.00830000,CH3,0.9639363896
167,0.00835000,CH3,0.8287832346
168,0.00840000,CH3,0.5667971412
169,0.00845000,CH3,0.2639900853
170,0.00850000,CH3,-0.0164294244
171,0.00855000,CH3,-0.2950950198
172,0.00860000,CH3,-0.4943202980
173,0.00865000,CH3,-0.8293972433
174,0.00870000,CH3,-1.0463242891
175,0.00875000,CH3,-1.1062971211
176,0.00880000,CH3,-1.3623999148
177,0.00885000,CH3,-1.5612509570
178,0.00890000,CH3,-1.5771048298
179,0.00895000,CH3,-1.0095309245
180,0.00900000,CH3,-0.0503011253
181,0.00905000,CH3,0.9973688864
182,0.00910000,CH3,1.5636228175
183,0.00915000,CH3,1.5753103584
184,0.00920000,CH3,1.3616083591
185,0.00925000,CH3,1.1099354114
186,0.00930000,CH3,1.0801285051
187,0.00935000,CH3,0.8436884298
188,0.00940000,CH3,0.5790817286
189,0.00945000,CH3,0.2236617217
190,0.00950000,CH3,0.0427649364
191,0.00955000,CH3,-0.2863567362
192,0.00960000,CH3,-0.5708039673
193,0.00965000,CH3,-0.8500753326
194,0.00970000,CH3,-1.0435467614
195,0.00975000,CH3,-1.1644515078
196,0.00980000,CH3,-1.3093736653
197,0.00985000,CH3,-1.5571340631
198,0.00990000,CH3,-1.6052290628
199,0.00995000,CH3,-0.9909489812
200,0.01000000,CH3,0.0244553203
201,0.01005000,CH3,1.0368330434
202,0.01010000,CH3,1.6196391038
203,0.01015000,CH3,1.6166469165
204,0.01020000,CH3,1.3364427570
205,0.01025000,CH3,1.1224875268
206,0.01030000,CH3,1.0650606265
207,0.01035000,CH3,0.8765364849
208,0.01040000,CH3,0.5742384547
209,0.01045000,CH3,0.2567628526
210,0.01050000,CH3,0.0112017011
211,0.01055000,CH3,-0.2554498843
212,0.01060000,CH3,-0.5165440754
213,0.01065000,CH3,-0.8528439574
214,0.01070000,CH3,-1.0340926927
215,0.01075000,CH3,-1.1172089938
216,0.01080000,CH3,-1.3843767500
217,0.01085000,CH3,-1.5248997473
218,0.01090000,CH3,-1.6227186902
219,0.01095000,CH3,-1.0640271090
220,0.01100000,CH3,0.0210552126
221,0.01105000,CH3,1.0475101532
222,0.01110000,CH3,1.5869660413
223,0.01115000,CH3,1.5424824553
224,0.01120000,CH3,1.3421742580
225,0.01125000,CH3,1.1222712020
226,0.01130000,CH3,1.0304434043
227,0.01135000,CH3,0.8641973350
228,0.01140000,CH3,0.5624352653
229,0.01145000,CH3,0.2249939345
230,0.01150000,CH3,0.0132151710
231,0.01155000,CH3,-0.2538313189
232,0.01160000,CH3,-0.5880648396
233,0.01165000,CH3,-0.8438819926
234,0.01170000,CH3,-0.9793793096
235,0.01175000,CH3,-1.1622290765
236,0.01180000,CH3,-1.3535805132
237,0.01185000,CH3,-1.6260720673
238,0.01190000,CH3,-1.5763145808
239,0.01195000,CH3,-1.0489067854
240,0.01200000,CH3,-0.0101486233
241,0.01205000,CH3,1.0308899766
242,0.01210000,CH3,1.5371040772
243,0.01215000,CH3,1.4824630176
244,0.01220000,CH3,1.3116337535
245,0.01225000,CH3,1.2026255711
246,0.01230000,CH3,1.0291542085
247,0.01235000,CH3,0.8997872961
248,0.01240000,CH3,0.5908145421
249,0.01245000,CH3,0.2937373606
250,0.01250000,CH3,0.0129087760
251,0.01255000,CH3,-0.2678347816
252,0.01260000,CH3,-0.5149135381
253,0.01265000,CH3,-0.8838913418
254,0.01270000,CH3,-1.0602765841
255,0.01275000,CH3,-1.1501754088
256,0.01280000,CH3,-1.3167395181
257,0.01285000,CH3,-1.5539965318
258,0.01290000,CH3,-1.5652175671
259,0.01295000,CH3,-0.9870205360
260,0.01300000,CH3,0.0176351854
261,0.01305000,CH3,1.0511107769
262,0.01310000,CH3,1.5540365208
263,0.01315000,CH3,1.4985369327
264,0.01320000,CH3,1.3213501630
265,0.01325000,CH3,1.1905503688
266,0.01330000,CH3,1.0172601762
267,0.01335000,CH3,0.8326436664
268,0.01340000,CH3,0.5738077141
269,0.01345000,CH3,0.2359279563
270,0.01350000,CH3,0.0110967118
271,0.01355000,CH3,-0.2207383623
272,0.01360000,CH3,-0.5035962664
273,0.01365000,CH3,-0.8426142575
274,0.01370000,CH3,-1.0449892547
275,0.01375000,CH3,-1.1401006647
276,0.01380000,CH3,-1.2921204887
277,0.01385000,CH3,-1.6045078180
278,0.01390000,CH3,-1.5302845671
279,0.01395000,CH3,-0.9874100067
280,0.01400000,CH3,-0.0225600577
281,0.01405000,CH3,1.0127265553
282,0.01410000,CH3,1.5720869968
283,0.01415000,CH3,1.5790836673
284,0.01420000,CH3,1.3241280793
285,0.01425000,CH3,1.1333218181
286,0.01430000,CH3,1.0065917818
287,0.01435000,CH3,0.8322947095
288,0.01440000,CH3,0.5590012270
289,0.01445000,CH3,0.2186848819
290,0.01450000,CH3,0.0061654635
291,0.01455000,CH3,-0.2802365336
292,0.01460000,CH3,-0.5392719996
293,0.01465000,CH3,-0.8723475762
294,0.01470000,CH3,-1.0283546974
295,0.01475000,CH3,-1.1575203464
296,0.01480000,CH3,-1.3038122874
297,0.01485000,CH3,-1.5876491975
298,0.01490000,CH3,-1.6082121947
299,0.01495000,CH3,-1.0517498496
300,0.01500000,CH3,-0.0024343079
301,0.01505000,CH3,0.9783455587
302,0.01510000,CH3,1.5507449872
303,0.01515000,CH3,1.5303211663
304,0.01520000,CH3,1.3619381710
305,0.01525000,CH3,1.1375664063
306,0.01530000,CH3,1.0913292039
307,0.01535000,CH3,0.8524637466
308,0.01540000,CH3,0.5537323803
309,0.01545000,CH3,0.2650602049
310,0.01550000,CH3,-0.0260622070
311,0.01555000,CH3,-0.3089683681
312,0.01560000,CH3,-0.5624538876
313,0.01565000,CH3,-0.8000399802
314,0.01570000,CH3,-1.0982508747
315,0.01575000,CH3,-1.1970674811
316,0.01580000,CH3,-1.3571000953
317,0.01585000,CH3,-1.5548322935
318,0.01590000,CH3,-1.5530561380
319,0.01595000,CH3,-1.0328580721
320,0.01600000,CH3,-0.0225686660
321,0.01605000,CH3,1.0257389341
322,0.01610000,CH3,1.5361219708
323,0.01615000,CH3,1.5796603700
324,0.01620000,CH3,1.3506545858
325,0.01625000,CH3,1.1869432295
326,0.01630000,CH3,1.0633885827
327,0.01635000,CH3,0.8463034963
328,0.01640000,CH3,0.5776443510
329,0.01645000,CH3,0.2314877388
330,0.01650000,CH3,-0.0427672020
331,0.01655000,CH3,-0.2141535326
332,0.01660000,CH3,-0.5758886951
333,0.01665000,CH3,-0.8880173670
334,0.01670000,CH3,-1.0164935260
335,0.01675000,CH3,-1.1595368149
336,0.01680000,CH3,-1.3556810825
337,0.01685000,CH3,-1.5860424054
338,0.01690000,CH3,-1.5580119795
339,0.01695000,CH3,-0.9951931992
340,0.01700000,CH3,-0.0496526070
341,0.01705000,CH3,0.9994678741
342,0.01710000,CH3,1.5938276671
343,0.01715000,CH3,1.5649932361
344,0.01720000,CH3,1.3288388094
345,0.01725000,CH3,1.1299234344
346,0.01730000,CH3,1.0447831321
347,0.01735000,CH3,0.8197812753
348,0.01740000,CH3,0.5279014655
349,0.01745000,CH3,0.2777487924
350,0.01750000,CH3,-0.0130122009
351,0.01755000,CH3,-0.2371183940
352,0.01760000,CH3,-0.5713378800
353,0.01765000,CH3,-0.8803033519
354,0.01770000,CH3,-1.0657046762
355,0.01775000,CH3,-1.1373654083
356,0.01780000,CH3,-1.3878642426
357,0.01785000,CH3,-1.5549097890
358,0.01790000,CH3,-1.5162665713
359,0.01795000,CH3,-0.9860572703
360,0.01800000,CH3,-0.0040553791
361,0.01805000,CH3,1.0253163709
362,0.01810000,CH3,1.5587841707
363,0.01815000,CH3,1.5450856995
364,0.01820000,CH3,1.3403189697
365,0.01825000,CH3,1.1637639851
366,0.01830000,CH3,1.0458229270
367,0.01835000,CH3,0.8668993647
368,0.01840000,CH3,0.5540016227
369,0.01845000,CH3,0.2594092480
370,0.01850000,CH3,0.0188780532
371,0.01855000,CH3,-0.2733545059
372,0.01860000,CH3,-0.5619800919
373,0.01865000,CH3,-0.8610869166
374,0.01870000,CH3,-1.0066503964
375,0.01875000,CH3,-1.1908930296
376,0.01880000,CH3,-1.3525939776
377,0.01885000,CH3,-1.5918334446
378,0.01890000,CH3,-1.5474034795
379,0.01895000,CH3,-1.0216724831
380,0.01900000,CH3,-0.0028345840
381,0.01905000,CH3,1.0448226527
382,0.01910000,CH3,1.5656344645
383,0.01915000,CH3,1.5321930917
384,0.01920000,CH3,1.3783739906
385,0.01925000,CH3,1.1302956282
386,0.01930000,CH3,1.0587859371
387,0.01935000,CH3,0.8417742334
388,0.01940000,CH3,0.5288517684
389,0.01945000,CH3,0.2439017384
390,0.01950000,CH3,-0.0333028256
391,0.01955000,CH3,-0.1848874571
392,0.01960000,CH3,-0.6051063830
393,0.01965000,CH3,-0.8206809767
394,0.01970000,CH3,-0.9832553977
395,0.01975000,CH3,-1.1525642853
396,0.01980000,CH3,-1.2997158536
397,0.01985000,CH3,-1.5610000785
398,0.01990000,CH3,-1.5627973016
399,0.01995000,CH3,-1.0031758835
400,0.02000000,CH3,-0.0429857352
401,0.02005000,CH3,0.9965533513
402,0.02010000,CH3,1.5327216111
403,0.02015000,CH3,1.5187137579
404,0.02020000,CH3,1.3749748841
405,0.02025000,CH3,1.1637518289
406,0.02030000,CH3,1.0745965200
407,0.02035000,CH3,0.8775219564
408,0.02040000,CH3,0.5445667440
409,0.02045000,CH3,0.2669152738
410,0.02050000,CH3,-0.0127983218
411,0.02055000,CH3,-0.2447314632
412,0.02060000,CH3,-0.5675865883
413,0.02065000,CH3,-0.8568260352
414,0.02070000,CH3,-1.0560962203
415,0.02075000,CH3,-1.1301586308
416,0.02080000,CH3,-1.3413719679
417,0.02085000,CH3,-1.5222086834
418,0.02090000,CH3,-1.6000632564
419,0.02095000,CH3,-1.0056709668
420,0.02100000,CH3,-0.0232150496
421,0.02105000,CH3,1.0689314308
422,0.02110000,CH3,1.5659155027
423,0.02115000,CH3,1.5301751261
424,0.02120000,CH3,1.3046837897
425,0.02125000,CH3,1.1209521070
426,0.02130000,CH3,1.0306514514
427,0.02135000,CH3,0.8570004463
428,0.02140000,CH3,0.5265286629
429,0.02145000,CH3,0.2518461724
430,0.02150000,CH3,0.0269061532
431,0.02155000,CH3,-0.2373310478
432,0.02160000,CH3,-0.5859921515
433,0.02165000,CH3,-0.9036063942
434,0.02170000,CH3,-1.0027715751
435,0.02175000,CH3,-1.1270251886
436,0.02180000,CH3,-1.3508709119
437,0.02185000,CH3,-1.5948611436
438,0.02190000,CH3,-1.5814480749
439,0.02195000,CH3,-1.0644641334
440,0.02200000,CH3,-0.0115853451
441,0.02205000,CH3,0.9714123099
442,0.02210000,CH3,1.5814152814
443,0.02215000,CH3,1.6117499251
444,0.02220000,CH3,1.3219244830
445,0.02225000,CH3,1.1416987471
446,0.02230000,CH3,1.0753641755
447,0.02235000,CH3,0.8907532785
448,0.02240000,CH3,0.5749699403
449,0.02245000,CH3,0.2768147007
450,0.02250000,CH3,0.0062720455
451,0.02255000,CH3,-0.2242796679
452,0.02260000,CH3,-0.5557584741
453,0.02265000,CH3,-0.8770569913
454,0.02270000,CH3,-1.0601537506
455,0.02275000,CH3,-1.1546468585
456,0.02280000,CH3,-1.3643181042
457,0.02285000,CH3,-1.5978786889
458,0.02290000,CH3,-1.5739074323
459,0.02295000,CH3,-1.0098619544
460,0.02300000,CH3,-0.0306823305
461,0.02305000,CH3,1.0307883369
462,0.02310000,CH3,1.5132503506
463,0.02315000,CH3,1.5773588952
464,0.02320000,CH3,1.3383051214
465,0.02325000,CH3,1.1924452629
466,0.02330000,CH3,1.0838750700
467,0.02335000,CH3,0.8606472793
468,0.02340000,CH3,0.5682720989
469,0.02345000,CH3,0.2768412774
470,0.02350000,CH3,-0.0250285138
471,0.02355000,CH3,-0.2371101188
472,0.02360000,CH3,-0.5822026222
473,0.02365000,CH3,-0.8130757713
474,0.02370000,CH3,-1.0775935974
475,0.02375000,CH3,-1.1313589293
476,0.02380000,CH3,-1.3335017319
477,0.02385000,CH3,-1.5325118122
478,0.02390000,CH3,-1.5993654902
479,0.02395000,CH3,-1.0519997281
480,0.02400000,CH3,-0.0171534046
481,0.02405000,CH3,0.9981605371
482,0.02410000,CH3,1.5786004626
483,0.02415000,CH3,1.5454669850
484,0.02420000,CH3,1.3728035636
485,0.02425000,CH3,1.1721270116
486,0.02430000,CH3,1.0457894848
487,0.02435000,CH3,0.8181884334
488,0.02440000,CH3,0.5736671124
489,0.02445000,CH3,0.2805811226
490,0.02450000,CH3,0.0233303490
491,0.02455000,CH3,-0.2819305281
492,0.02460000,CH3,-0.5677193620
493,0.02465000,CH3,-0.8460898986
494,0.02470000,CH3,-1.0389299750
495,0.02475000,CH3,-1.1279722839
496,0.02480000,CH3,-1.3369533409
497,0.02485000,CH3,-1.5636752610
498,0.02490000,CH3,-1.5916750999
499,0.02495000,CH3,-0.9820380947
500,0.02500000,CH3,0.0624814721
501,0.02505000,CH3,1.0243428835
502,0.02510000,CH3,1.5746146212
503,0.02515000,CH3,1.5637052589
504,0.02520000,CH3,1.3419801963
505,0.02525000,CH3,1.1669857317
506,0.02530000,CH3,1.0618906493
507,0.02535000,CH3,0.9190997162
508,0.02540000,CH3,0.5555550478
509,0.02545000,CH3,0.3056480100
510,0.02550000,CH3,0.0390508538
511,0.02555000,CH3,-0.2401056492
512,0.02560000,CH3,-0.6094420177
513,0.02565000,CH3,-0.8031771346
514,0.02570000,CH3,-1.0310849048
515,0.02575000,CH3,-1.1229885857
516,0.02580000,CH3,-1.3322689718
517,0.02585000,CH3,-1.5387125177
518,0.02590000,CH3,-1.5333056655
519,0.02595000,CH3,-1.0305820167
520,0.02600000,CH3,-0.0120501306
521,0.02605000,CH3,1.0255517736
522,0.02610000,CH3,1.5048827641
523,0.02615000,CH3,1.5703919344
524,0.02620000,CH3,1.3431793303
525,0.02625000,CH3,1.1034626028
526,0.02630000,CH3,1.0546950805
527,0.02635000,CH3,0.8336830190
528,0.02640000,CH3,0.5981850234
529,0.02645000,CH3,0.2720486558
530,0.02650000,CH3,0.0216128520
531,0.02655000,CH3,-0.3022137695
532,0.02660000,CH3,-0.5481017257
533,0.02665000,CH3,-0.8713840183
534,0.02670000,CH3,-1.0767159573
535,0.02675000,CH3,-1.1379951465
536,0.02680000,CH3,-1.3286005606
537,0.02685000,CH3,-1.5676031337
538,0.02690000,CH3,-1.5331061585
539,0.02695000,CH3,-0.9748449706
540,0.02700000,CH3,0.0180440079
541,0.02705000,CH3,0.9957651952
542,0.02710000,CH3,1.5458969214
543,0.02715000,CH3,1.5415690534
544,0.02720000,CH3,1.3434777542
545,0.02725000,CH3,1.2365235513
546,0.02730000,CH3,1.0230808473
547,0.02735000,CH3,0.8392819767
548,0.02740000,CH3,0.5376644294
549,0.02745000,CH3,0.2162174025
550,0.02750000,CH3,-0.0169557596
551,0.02755000,CH3,-0.3221410226
552,0.02760000,CH3,-0.5687511897
553,0.02765000,CH3,-0.8426058161
554,0.02770000,CH3,-1.0226573004
555,0.02775000,CH3,-1.1100923221
556,0.02780000,CH3,-1.3304104261
557,0.02785000,CH3,-1.5518168825
558,0.02790000,CH3,-1.5665740029
559,0.02795000,CH3,-0.9970455499
560,0.02800000,CH3,0.0537958208
561,0.02805000,CH3,1.0387018971
562,0.02810000,CH3,1.5151015121
563,0.02815000,CH3,1.5966608068
564,0.02820000,CH3,1.3390588565
565,0.02825000,CH3,1.1181155592
566,0.02830000,CH3,0.9913677612
567,0.02835000,CH3,0.8648487390
568,0.02840000,CH3,0.5671071375
569,0.02845000,CH3,0.2574913179
570,0.02850000,CH3,0.0554632606
571,0.02855000,CH3,-0.2190113065
572,0.02860000,CH3,-0.6009002454
573,0.02865000,CH3,-0.8432564655
574,0.02870000,CH3,-1.0458885688
575,0.02875000,CH3,-1.1457182883
576,0.02880000,CH3,-1.2876391302
577,0.02885000,CH3,-1.5778536832
578,0.02890000,CH3,-1.5535960499
579,0.02895000,CH3,-1.0173341159
580,0.02900000,CH3,-0.0239872208
581,0.02905000,CH3,1.0550116221
582,0.02910000,CH3,1.5334692455
583,0.02915000,CH3,1.5039083248
584,0.02920000,CH3,1.3046502908
585,0.02925000,CH3,1.1162122365
586,0.02930000,CH3,1.0422426494
587,0.02935000,CH3,0.9147910642
588,0.02940000,CH3,0.5798766347
589,0.02945000,CH3,0.2377608605
590,0.02950000,CH3,0.0181745573
591,0.02955000,CH3,-0.2757134621
592,0.02960000,CH3,-0.5085744051
593,0.02965000,CH3,-0.8603830075
594,0.02970000,CH3,-1.0285057378
595,0.02975000,CH3,-1.1233646840
596,0.02980000,CH3,-1.3626924201
597,0.02985000,CH3,-1.5423747479
598,0.02990000,CH3,-1.6288659962
599,0.02995000,CH3,-0.9976344306
600,0.03000000,CH3,0.0210387068
601,0.03005000,CH3,1.0241520829
602,0.03010000,CH3,1.5916866483
603,0.03015000,CH3,1.5702305173
604,0.03020000,CH3,1.2727986167
605,0.03025000,CH3,1.1735290361
606,0.03030000,CH3,1.0485412740
607,0.03035000,CH3,0.8201297959
608,0.03040000,CH3,0.5666772948
609,0.03045000,CH3,0.2456244755
610,0.03050000,CH3,0.0427418498
611,0.03055000,CH3,-0.3048010992
612,0.03060000,CH3,-0.5506774556
613,0.03065000,CH3,-0.8857835985
614,0.03070000,CH3,-1.0220256959
615,0.03075000,CH3,-1.1457858767
616,0.03080000,CH3,-1.3277479418
617,0.03085000,CH3,-1.6089761749
618,0.03090000,CH3,-1.5907210826
619,0.03095000,CH3,-1.0246189084
620,0.03100000,CH3,0.0059301847
621,0.03105000,CH3,0.9984846583
622,0.03110000,CH3,1.5792735588
623,0.03115000,CH3,1.5375497897
624,0.03120000,CH3,1.3471610076
625,0.03125000,CH3,1.1087202079
626,0.03130000,CH3,1.0212378054
627,0.03135000,CH3,0.8756082731
628,0.03140000,CH3,0.5255835172
629,0.03145000,CH3,0.2060243047
630,0.03150000,CH3,-0.0011223838
631,0.03155000,CH3,-0.3179685284
632,0.03160000,CH3,-0.5026200219
633,0.03165000,CH3,-0.8291845696
634,0.03170000,CH3,-1.0576592960
635,0.03175000,CH3,-1.1006103882
636,0.03180000,CH3,-1.3566191444
637,0.03185000,CH3,-1.5429013737
638,0.03190000,CH3,-1.5878395184
639,0.03195000,CH3,-0.9953050610
640,0.03200000,CH3,-0.0320274831
641,0.03205000,CH3,1.0159593112
642,0.03210000,CH3,1.6001485247
643,0.03215000,CH3,1.5937472296
644,0.03220000,CH3,1.3593965909
645,0.03225000,CH3,1.1899003534
646,0.03230000,CH3,1.0825138817
647,0.03235000,CH3,0.8567636459
648,0.03240000,CH3,0.5429375552
649,0.03245000,CH3,0.2343063236
650,0.03250000,CH3,0.0202887355
651,0.03255000,CH3,-0.2939450330
652,0.03260000,CH3,-0.5405583740
653,0.03265000,CH3,-0.8458613862
654,0.03270000,CH3,-1.0412991856
655,0.03275000,CH3,-1.1424112368
656,0.03280000,CH3,-1.3695009474
657,0.03285000,CH3,-1.5248065157
658,0.03290000,CH3,-1.5278637932
659,0.03295000,CH3,-1.0434822196
660,0.03300000,CH3,0.0387892873
661,0.03305000,CH3,0.9759373418
662,0.03310000,CH3,1.5087758325
663,0.03315000,CH3,1.5276717442
664,0.03320000,CH3,1.3449296156
665,0.03325000,CH3,1.1553588814
666,0.03330000,CH3,1.0420919736
667,0.03335000,CH3,0.8641375881
668,0.03340000,CH3,0.5947886213
669,0.03345000,CH3,0.2586753632
670,0.03350000,CH3,0.0081773070
671,0.03355000,CH3,-0.2132321302
672,0.03360000,CH3,-0.5851229302
673,0.03365000,CH3,-0.8441038562
674,0.03370000,CH3,-0.9437799083
675,0.03375000,CH3,-1.1342184205
676,0.03380000,CH3,-1.3404471533
677,0.03385000,CH3,-1.5145227453
678,0.03390000,CH3,-1.5688600022
679,0.03395000,CH3,-1.0270238785
680,0.03400000,CH3,-0.0017794693
681,0.03405000,CH3,0.9865793606
682,0.03410000,CH3,1.5948493379
683,0.03415000,CH3,1.5824301303
684,0.03420000,CH3,1.3176507248
685,0.03425000,CH3,1.1772033752
686,0.03430000,CH3,1.0601153760
687,0.03435000,CH3,0.8881617666
688,0.03440000,CH3,0.5760801783
689,0.03445000,CH3,0.2772893879
690,0.03450000,CH3,-0.0442997591
691,0.03455000,CH3,-0.2143448893
692,0.03460000,CH3,-0.5930589774
693,0.03465000,CH3,-0.8651852012
694,0.03470000,CH3,-1.0173740536
695,0.03475000,CH3,-1.1230406245
696,0.03480000,CH3,-1.3700570025
697,0.03485000,CH3,-1.5467285758
698,0.03490000,CH3,-1.5669460265
699,0.03495000,CH3,-1.0333056465
700,0.03500000,CH3,-0.0344725500
701,0.03505000,CH3,1.0059101755
702,0.03510000,CH3,1.5580677881
703,0.03515000,CH3,1.5280204800
704,0.03520000,CH3,1.3156602610
705,0.03525000,CH3,1.1520388401
706,0.03530000,CH3,0.9788895500
707,0.03535000,CH3,0.8348575961
708,0.03540000,CH3,0.5574960826
709,0.03545000,CH3,0.1712496796
710,0.03550000,CH3,-0.0144680821
711,0.03555000,CH3,-0.2819795267
712,0.03560000,CH3,-0.5709432664
713,0.03565000,CH3,-0.8350298077
714,0.03570000,CH3,-1.0474918705
715,0.03575000,CH3,-1.1053851928
